Movie_Name,Country,Rating,Gross,year
Unbreakable,['USA'],7.2,$95.00M,2000
Gladiator,"['USA', 'UK']",8.5,$187.67M,2000
Requiem for a Dream,['USA'],8.4,$3.61M,2000
Snatch,"['UK', 'USA']",8.3,$30.09M,2000
Cast Away,['USA'],7.7,$233.63M,2000
Memento,['USA'],8.5,$25.53M,2000
American Psycho,['USA'],7.6,$15.05M,2000
The Beach,"['USA', 'UK']",6.6,$39.78M,2000
X-Men,['USA'],7.4,$157.30M,2000
Remember the Titans,['USA'],7.8,$115.65M,2000
The Cell,"['USA', 'Germany']",6.3,$61.28M,2000
"O Brother, Where Art Thou?","['UK', 'France', 'USA']",7.8,$45.51M,2000
The Patriot,"['USA', 'Germany']",7.1,$113.33M,2000
Almost Famous,['USA'],7.9,$32.52M,2000
Scary Movie,['USA'],6.2,$157.00M,2000
Erin Brockovich,['USA'],7.3,$125.55M,2000
Coyote Ugly,['USA'],5.6,$60.79M,2000
How the Grinch Stole Christmas,"['USA', 'Germany']",6.0,$260.03M,2000
Pitch Black,['USA'],7.1,$39.24M,2000
The Emperor's New Groove,['USA'],7.3,$89.30M,2000
Gone in Sixty Seconds,['USA'],6.5,$101.64M,2000
Final Destination,"['Canada', 'USA']",6.7,$53.30M,2000
Traffic,"['USA', 'Germany']",7.6,$124.11M,2000
Road Trip,['USA'],6.5,$68.53M,2000
Bring It On,['USA'],5.9,$68.35M,2000
You Can Count on Me,['USA'],7.7,$9.18M,2000
Little Nicky,['USA'],5.3,$39.44M,2000
"Crouching Tiger, Hidden Dragon","['Taiwan', 'Hong Kong', 'USA', 'China']",7.9,$128.07M,2000
Miss Congeniality,['USA'],6.2,$106.81M,2000
Charlie's Angels,"['USA', 'Germany']",5.5,$125.31M,2000
Scream 3,['USA'],5.5,$89.14M,2000
Battlefield Earth,['USA'],2.4,$21.47M,2000
What Women Want,['USA'],6.4,$182.81M,2000
Hollow Man,"['USA', 'Germany']",5.7,$73.21M,2000
Love & Basketball,['USA'],7.2,$27.44M,2000
Quills,"['UK', 'Germany', 'USA']",7.4,$7.06M,2000
Frequency,['USA'],7.4,$44.98M,2000
